startDateTime,endDateTime,VSWCMean,VSWCMinimum,VSWCMaximum,VSWCVariance,VSWCNumPts,VSWCExpUncert,VSWCStdErMean,VSWCFinalQF,VSICMean,VSICMinimum,VSICMaximum,VSICVariance,VSICNumPts,VSICExpUncert,VSICStdErMean,VSICFinalQF
"2016-08-01T00:00:00Z","2016-08-01T00:30:00Z",0.2088,0.2088,0.2089,0.0000,164,0.2135,0.0000,0,1691.961,1690.702,1692.523,0.162,180,0.060,0.030,0
"2016-08-01T00:30:00Z","2016-08-01T01:00:00Z",0.2088,0.2088,0.2088,0.0000,179,0.2135,0.0000,0,1691.307,1689.494,1691.915,0.200,180,0.067,0.033,0
"2016-08-01T01:00:00Z","2016-08-01T01:30:00Z",0.2088,0.2088,0.2088,0.0000,180,0.2135,0.0000,0,1690.664,1689.494,1691.308,0.084,156,0.046,0.023,1
"2016-08-01T01:30:00Z","2016-08-01T02:00:00Z",0.2088,0.2087,0.2088,0.0000,155,0.2135,0.0000,1,1690.222,1688.891,1690.958,0.128,180,0.053,0.027,0
"2016-08-01T02:00:00Z","2016-08-01T02:30:00Z",0.2087,0.2087,0.2088,0.0000,153,0.2135,0.0000,1,1689.847,1688.891,1690.353,0.099,164,0.049,0.025,0
"2016-08-01T02:30:00Z","2016-08-01T03:00:00Z",0.2087,0.2087,0.2087,0.0000,177,0.2135,0.0000,0,1689.749,1689.749,1689.749,0.000,158,0.000,0.000,1
"2016-08-01T03:00:00Z","2016-08-01T03:30:00Z",0.2087,0.2087,0.2087,0.0000,180,0.2135,0.0000,0,1689.749,1689.749,1689.749,0.000,152,0.000,0.000,1
"2016-08-01T03:30:00Z","2016-08-01T04:00:00Z",0.2087,0.2087,0.2087,0.0000,180,0.2135,0.0000,0,1689.749,1689.749,1689.749,0.000,153,0.000,0.000,1
"2016-08-01T04:00:00Z","2016-08-01T04:30:00Z",0.2087,0.2087,0.2087,0.0000,180,0.2135,0.0000,0,1689.749,1689.749,1689.749,0.000,140,0.000,0.000,1
"2016-08-01T04:30:00Z","2016-08-01T05:00:00Z",0.2087,0.2087,0.2087,0.0000,155,0.2135,0.0000,1,1689.747,1689.146,1690.004,0.008,143,0.015,0.008,1
"2016-08-01T05:00:00Z","2016-08-01T05:30:00Z",0.2087,0.2087,0.2087,0.0000,118,0.2135,0.0000,1,1689.725,1688.544,1690.004,0.096,175,0.047,0.023,0
"2016-08-01T05:30:00Z","2016-08-01T06:00:00Z",0.2087,0.2087,0.2087,0.0000,118,0.2135,0.0000,1,1689.581,1688.197,1690.004,0.139,180,0.056,0.028,0
"2016-08-01T06:00:00Z","2016-08-01T06:30:00Z",0.2087,0.2087,0.2087,0.0000,156,0.2135,0.0000,1,1689.402,1688.197,1690.004,0.094,143,0.051,0.026,1
"2016-08-01T06:30:00Z","2016-08-01T07:00:00Z",0.2087,0.2087,0.2087,0.0000,180,0.2135,0.0000,0,1689.410,1688.197,1690.004,0.035,124,0.034,0.017,1
"2016-08-01T07:00:00Z","2016-08-01T07:30:00Z",0.2087,0.2087,0.2087,0.0000,180,0.2135,0.0000,0,1689.504,1688.798,1690.004,0.064,122,0.046,0.023,1
