HOR.VER,name,description,start,end,referenceName,referenceDescription,referenceStart,referenceEnd,xOffset,yOffset,zOffset,pitch,roll,azimuth,referenceLatitude,referenceLongitude,referenceElevation,eastOffset,northOffset,xAzimuth,yAzimuth
"002.501",CFGLOC101763,"Central Plains Soil Water Content Profile SP2","2010-01-01T00:00:00Z",,SOILPL101755,"Central Plains Soil Plot, SP2","2015-02-01T00:00:00Z",,0.18,3.00,-0.01,1.00,0.00,30.00,40.815892,-104.746013,1654.01,-1.99,2.25,45.00,315.00
"002.502",CFGLOC101767,"Central Plains Soil Temp Profile SP2, Z2 Depth","2010-01-01T00:00:00Z",,SOILPL101755,"Central Plains Soil Plot, SP2","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.27,2.50,-0.05,2.00,0.00,300.00,,,,0.27,2.50,0.00,0.00
"002.502",CFGLOC101767,"Central Plains Soil Temp Profile SP2, Z2 Depth","2010-01-01T00:00:00Z",,SOILPL101755,"Central Plains Soil Plot, SP2","2015-02-01T00:00:00Z",,0.27,2.50,-0.05,2.00,0.00,300.00,40.815892,-104.746013,1654.01,-1.58,1.96,45.00,315.00
"002.503",CFGLOC101769,"Central Plains Soil Temp Profile SP2, Z3 Depth","2010-01-01T00:00:00Z",,SOILPL101755,"Central Plains Soil Plot, SP2","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.27,2.50,-0.15,2.00,0.00,300.00,,,,0.27,2.50,0.00,0.00
"002.503",CFGLOC101769,"Central Plains Soil Temp Profile SP2, Z3 Depth","2010-01-01T00:00:00Z",,SOILPL101755,"Central Plains Soil Plot, SP2","2015-02-01T00:00:00Z",,0.27,2.50,-0.15,2.00,0.00,300.00,40.815892,-104.746013,1654.01,-1.58,1.96,45.00,315.00
"002.504",CFGLOC101771,"Central Plains Soil Temp Profile SP2, Z4 Depth","2010-01-01T00:00:00Z",,SOILPL101755,"Central Plains Soil Plot, SP2","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.27,2.50,-0.25,2.00,0.00,300.00,,,,0.27,2.50,0.00,0.00
"002.504",CFGLOC101771,"Central Plains Soil Temp Profile SP2, Z4 Depth","2010-01-01T00:00:00Z",,SOILPL101755,"Central Plains Soil Plot, SP2","2015-02-01T00:00:00Z",,0.27,2.50,-0.25,2.00,0.00,300.00,40.815892,-104.746013,1654.01,-1.58,1.96,45.00,315.00
"002.505",CFGLOC101773,"Central Plains Soil Temp Profile SP2, Z5 Depth","2010-01-01T00:00:00Z",,SOILPL101755,"Central Plains Soil Plot, SP2","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.27,2.50,-0.45,2.00,0.00,300.00,,,,0.27,2.50,0.00,0.00
"002.505",CFGLOC101773,"Central Plains Soil Temp Profile SP2, Z5 Depth","2010-01-01T00:00:00Z",,SOILPL101755,"Central Plains Soil Plot, SP2","2015-02-01T00:00:00Z",,0.27,2.50,-0.45,2.00,0.00,300.00,40.815892,-104.746013,1654.01,-1.58,1.96,45.00,315.00
"002.506",CFGLOC101775,"Central Plains Soil Temp Profile SP2, Z6 Depth","2010-01-01T00:00:00Z",,SOILPL101755,"Central Plains Soil Plot, SP2","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.27,2.50,-0.65,2.00,0.00,300.00,,,,0.27,2.50,0.00,0.00
